course_type,course_title,course_rating,course_link,course_skill,course_job
Course,Sequence Models for Time Series and Natural Language Processing,4.5,https://www.coursera.org/learn/sequence-models-tensorflow-gcp,[],"['Data Scientists', 'Machine Learning Engineers', 'Chief Technology Officers (CTOs)', 'Data Engineers', 'Research Assistants', 'Data Scientists', 'Machine Learning Engineers', 'Chief Technology Officers (CTOs)', 'Data Engineers', 'Research Assistants']"
Course,Image Understanding with TensorFlow on GCP,4.6,https://www.coursera.org/learn/image-understanding-tensorflow-gcp,"['Tensorflow', 'Convolutional Neural Network', 'Estimator', 'Advanced Machine Learning']","['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Introduction to Cataract Surgery,4.8,https://www.coursera.org/learn/cataract-surgery,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Reinforcement Learning in Finance,3.3,https://www.coursera.org/learn/reinforcement-learning-in-finance,"['option pricing and risk management', 'simple model for market dynamics', 'Q-learning using financial problems', 'optimal trading', 'Portfolio Optimization']","['Traders', 'Data Scientists', 'Risk Managers', 'Machine Learning Engineers', 'Financial Analysts', 'Traders', 'Data Scientists', 'Risk Managers', 'Machine Learning Engineers', 'Financial Analysts']"
Course,Kinematics: Describing the Motions of Spacecraft,4.8,https://www.coursera.org/learn/spacecraft-dynamics-kinematics,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Introduction into General Theory of Relativity,4.6,https://www.coursera.org/learn/general-relativity,[],"['Scientists', 'Professors', 'Data Scientists', 'Researchers', 'Teachers']"
Course,"Natural Attenuation of Groundwater Contaminants: New Paradigms, Technologies, and Applications",4.8,https://www.coursera.org/learn/natural-attenuation-of-groundwater-contaminants,[],"['Geologists', 'Scientists', 'Engineers', 'Researchers', 'Professors']"
Course,Advanced Linear Models for Data Science 1: Least Squares,4.4,https://www.coursera.org/learn/linear-models,"['Statistics', 'Linear Regression', 'R Programming', 'Linear Algebra']","['Biologists', 'Data Scientists', 'Traders', 'Scientists', 'Economists', 'Biologists', 'Data Scientists', 'Traders', 'Scientists', 'Economists']"
Course,Deep Learning in Computer Vision,3.8,https://www.coursera.org/learn/deep-learning-in-computer-vision,[],"['Machine Learning Engineers', 'Data Scientists', 'Researchers', 'Research Assistants', 'Data Engineers']"
Course,Introduction to Galois Theory,4.3,https://www.coursera.org/learn/galois,[],"['Data Scientists', 'Data Engineers', 'Professors', 'Teachers', 'Researchers', 'Data Scientists', 'Data Engineers', 'Professors', 'Teachers', 'Researchers']"
Course,Light Emitting Diodes and Semiconductor Lasers,3.4,https://www.coursera.org/learn/leds-semiconductor-lasers,[],"['Scientists', 'Engineers', 'Researchers', 'Research Assistants', 'Teachers']"
Course,"Big Data, Genes, and Medicine",4.2,https://www.coursera.org/learn/data-genes-medicine,"['Bioinformatics', 'Data Clustering Algorithms', 'Big Data', 'R Programming']","['Biostatisticians', 'Scientists', 'Biologists', 'Researchers', 'Medical Doctors']"
Course,Overview of Advanced Methods of Reinforcement Learning in Finance,3.5,https://www.coursera.org/learn/advanced-methods-reinforcement-learning-finance,[],"['Traders', 'Risk Managers', 'Data Scientists', 'Machine Learning Engineers', 'Financial Analysts']"
Course,Advanced Algorithms and Complexity,4.6,https://www.coursera.org/learn/advanced-algorithms-and-complexity,"['Python Programming', 'Linear Programming (LP)', 'Np-Completeness', 'Dynamic Programming']","['Machine Learning Engineers', 'Data Scientists', 'Software Engineers', 'Scientists', 'Security Engineers']"
Course,Optical Efficiency and Resolution,3.8,https://www.coursera.org/learn/optical-efficiency-and-resolution,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Burgos: Deciphering Secrets of Medieval Spain,4.6,https://www.coursera.org/learn/burgos-deciphering-secrets-medieval-spain,[],['Teachers']
Course,Design of High-Performance Optical Systems,4.3,https://www.coursera.org/learn/design-high-performance-optical-systems,[],"['Scientists', 'Research Assistants', 'Machine Learning Engineers', 'Engineers', 'Researchers']"
Course,Big Data Applications: Real-Time Streaming,2.9,https://www.coursera.org/learn/real-time-streaming-big-data,"['Kafka', 'NoSQL', 'Spark Streaming', 'Spark']","['Data Engineers', 'Data Scientists', 'Machine Learning Engineers', 'Data Analysts', 'Software Engineers']"
Course,Genome Assembly Programming Challenge,4.3,https://www.coursera.org/learn/assembling-genomes,"['Data Structure', 'Algorithms', 'Algorithm Design', 'String (Computer Science)']","['Biologists', 'Data Scientists', 'Machine Learning Engineers', 'Software Engineers', 'Data Engineers', 'Biologists', 'Data Scientists', 'Machine Learning Engineers', 'Software Engineers', 'Data Engineers']"
Course,Advanced Linear Models for Data Science 2: Statistical Linear Models,4.7,https://www.coursera.org/learn/linear-models-2,[],"['Biologists', 'Data Scientists', 'Researchers', 'Economists', 'Machine Learning Engineers']"
Course,Addressing Large Hadron Collider Challenges by Machine Learning,4.4,https://www.coursera.org/learn/hadron-collider-machine-learning,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Engineering Design Process with Autodesk Fusion 360,4.7,https://www.coursera.org/learn/engineering-design-process-fusion-360,[],"['Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers', 'Customer Care Reps', 'Accountants', 'Operations Analysts', 'Auditors', 'Risk Managers']"
Course,Diode - pn Junction and Metal Semiconductor Contact,4.6,https://www.coursera.org/learn/diode-pn-junction-metal-semiconductor-contact,[],"['Scientists', 'Engineers', 'Research Assistants', 'Researchers', 'Data Scientists']"
Course,Electrodynamics: In-depth Solutions for Maxwell’s Equations,3,https://www.coursera.org/learn/electrodynamics-solutions-maxwells-equations,[],"['Researchers', 'Software Engineers', 'Researchers', 'Software Engineers']"
